Fecha,Precio_Apertura,Precio_Máximo,Precio_Mínimo,Precio_Cierre,Volumen,Precio_Promedio,Diferencia,Patron_Ganancia,Variabilidad
2016-03-21,413417999,413417999,410381012,413307007,61655400,0,,Pérdida,
2016-03-22,413131989,418375000,412531006,418088989,66813300,1,1.0,Ganancia,-0.07
2016-03-23,418161011,419268005,417364014,418040985,61444200,0,-1.0,Pérdida,1.22
2016-03-24,418424011,418679993,415485992,416394012,68346704,0,0.0,Pérdida,0.06
2016-03-25,416507996,418079987,415558014,417177002,52560000,1,1.0,Ganancia,-0.46
2016-03-26,417364990,418987000,416259003,417945007,44650400,1,0.0,Pérdida,0.21
2016-03-27,418140015,428796997,417710999,426765015,71229400,1,0.0,Pérdida,0.19
2016-03-28,426548004,426856995,423292999,424230988,68522800,0,-1.0,Pérdida,2.01
2016-03-29,424303986,426203003,412681000,416515991,75411504,0,0.0,Pérdida,-0.53
2016-03-30,416834015,416834015,412496002,414816010,66034100,0,0.0,Pérdida,-1.76
2016-03-31,415256989,418368988,415256989,416729004,60215200,1,1.0,Ganancia,-0.38
2016-01-04,416760010,418173004,415830994,417959991,51235700,1,0.0,Pérdida,0.36
2016-02-04,418421997,422080994,418421997,420872986,45681200,1,0.0,Pérdida,0.4
2016-03-04,421173004,421579987,419696991,420903992,38053700,0,-1.0,Pérdida,0.66
2016-04-04,421299011,422342987,419601013,421444000,50634300,1,1.0,Ganancia,0.03
2016-05-04,421016998,424256989,420614014,424029999,60718000,1,0.0,Pérdida,-0.07
2016-06-04,424283997,424527008,422729004,423412994,59091000,0,-1.0,Pérdida,0.78
2016-07-04,423619995,423657013,420518005,422744995,57858600,0,0.0,Pérdida,-0.16
2016-08-04,422907013,425360992,419635010,420348999,63454700,0,0.0,Pérdida,-0.17
2016-09-04,420811005,420890991,416515015,419411011,49792700,0,0.0,Pérdida,-0.5
2016-10-04,419592010,422434998,419256989,421563995,73478600,1,1.0,Ganancia,-0.29
2016-11-04,421872009,422739014,420532990,422483002,50747500,1,0.0,Pérdida,0.54
2016-12-04,422842987,427277008,422842987,425190002,70728800,1,0.0,Pérdida,0.23
2016-04-13,425631989,426657990,422915985,423734009,69060400,0,-1.0,Pérdida,0.66
2016-04-14,423934998,425371002,423013000,424282013,45281000,1,1.0,Ganancia,-0.4
2016-04-15,424427002,429928009,424427002,429713013,54801500,1,0.0,Pérdida,0.12
2016-04-16,429575012,432625000,428984009,430571991,39392800,1,0.0,Pérdida,1.21
2016-04-17,430635986,431371002,426079010,427398987,52125900,0,-1.0,Pérdida,0.25
2016-04-18,427610992,429273987,427085999,428591003,55670900,1,1.0,Ganancia,-0.7
2016-04-19,428703003,436019989,428104004,435509003,52810500,1,0.0,Pérdida,0.26
2016-04-20,435324005,443053986,434406006,441389008,72890096,1,0.0,Pérdida,1.54
2016-04-21,441415985,450548004,440951996,449424988,68204704,1,0.0,Pérdida,1.4
2016-04-22,449687988,449809998,444149994,445737000,58804400,0,-1.0,Pérdida,1.87
2016-04-23,445860992,450282013,444330994,450282013,50485400,1,1.0,Ganancia,-0.85
2016-04-24,450559998,460145996,448928009,458554993,68198400,1,0.0,Pérdida,1.05
2016-04-25,459121002,466619995,453592010,461425995,87091800,1,0.0,Pérdida,1.9
2016-04-26,461648010,467964996,461621002,466088989,78971904,1,0.0,Pérdida,0.55
2016-04-27,466261993,467079010,444134003,444687012,93564896,0,-1.0,Pérdida,1.0
2016-04-28,445037994,449550995,436649994,449010986,74064704,1,1.0,Ganancia,-4.55
2016-04-29,449407990,455384003,446016998,455096985,49258500,1,0.0,Pérdida,0.98
2016-04-30,455178009,455587006,447696991,448317993,69322600,0,-1.0,Pérdida,1.28
2016-01-05,448484009,452479004,447927002,451875000,40660100,1,1.0,Ganancia,-1.47
2016-02-05,451933014,452445007,441776001,444669006,92127000,0,-1.0,Pérdida,0.77
2016-03-05,444726990,451096985,442617004,450303986,59366400,1,1.0,Ganancia,-1.59
2016-04-05,450183014,450377991,445630005,446721985,50407300,0,-1.0,Pérdida,1.23
2016-05-05,446710999,448506012,445882996,447976013,50440800,1,1.0,Ganancia,-0.77
2016-06-05,447941986,461375000,447067993,459602997,72796800,1,0.0,Pérdida,0.28
2016-07-05,459639008,460674988,457324005,458536011,38364500,0,-1.0,Pérdida,2.61
2016-08-05,458428986,459416992,455983002,458548004,40315000,1,1.0,Ganancia,-0.26
2016-09-05,458205994,462480988,456531006,460483002,55493100,1,0.0,Pérdida,-0.05
2016-10-05,460518005,461928986,448954010,450894989,58956100,0,-1.0,Pérdida,0.5
2016-11-05,450864014,454575989,450864014,452727997,50605200,1,1.0,Ganancia,-2.1
2016-12-05,452446991,454949005,449250000,454765991,59849300,1,0.0,Pérdida,0.35
2016-05-13,454850006,457054993,453453003,455670013,60845000,1,0.0,Pérdida,0.53
2016-05-14,455822998,456835999,454786011,455670990,37209000,0,-1.0,Pérdida,0.21
2016-05-15,455759003,458691986,455459015,457567993,28514000,1,1.0,Ganancia,-0.01
2016-05-16,457585999,458200012,452945007,454162994,59171500,0,-1.0,Pérdida,0.4
2016-05-17,454009003,455071991,453605011,453782990,64100300,0,0.0,Pérdida,-0.78
2016-05-18,453691010,455997986,453299011,454618988,86850096,1,1.0,Ganancia,-0.07
2016-05-19,454523987,454632996,438714996,438714996,96027400,0,-1.0,Pérdida,0.18
2016-05-20,437792999,444053986,437389008,442675995,81987904,1,1.0,Ganancia,-3.68
2016-05-21,442966003,443778015,441705994,443187988,42762300,1,0.0,Pérdida,1.18
2016-05-22,443217987,443427002,439035004,439322998,39657600,0,-1.0,Pérdida,0.06
2016-05-23,439347992,444345001,438822998,444154999,50582500,1,1.0,Ganancia,-0.87
2016-05-24,444290985,447100006,443929993,445980988,65783100,1,0.0,Pérdida,1.13
2016-05-25,446062012,450298004,446062012,449598999,65231000,1,0.0,Pérdida,0.4
2016-05-26,449671997,453644012,447895996,453384003,65203800,1,0.0,Pérdida,0.81
2016-05-27,453520996,478148987,453520996,473463989,164780992,1,0.0,Pérdida,0.86
2016-05-28,473028992,533473022,472699005,530039978,181199008,1,0.0,Pérdida,4.3
2016-05-29,527476990,553960022,512179016,526232971,148736992,0,-1.0,Pérdida,11.51
2016-05-30,528471008,544348999,522963013,533864014,87958704,1,1.0,Ganancia,0.19
2016-05-31,534190979,546617981,520661987,531385986,138450000,0,-1.0,Pérdida,1.08
2016-01-06,531106995,543080017,525635986,536919983,86061800,1,1.0,Ganancia,-0.58
2016-02-06,536515015,540351990,533078003,537971985,60378200,1,0.0,Pérdida,1.02
2016-03-06,537682007,574638000,536919983,569193970,122020000,1,0.0,Pérdida,0.22
2016-04-06,569705017,590132019,564237976,572726990,94925296,1,0.0,Pérdida,5.96
2016-05-06,573307983,582807983,569177979,574976990,68874096,1,0.0,Pérdida,0.63
2016-06-06,574601990,586469971,574601990,585536987,72138896,1,0.0,Pérdida,0.23
2016-07-06,585445007,590258972,567513977,576596985,107770000,0,-1.0,Pérdida,1.89
2016-08-06,577166992,582838989,573130005,581645020,80265800,1,1.0,Ganancia,-1.41
2016-09-06,582203003,582203003,570950989,574630005,71301000,0,-1.0,Pérdida,0.87
2016-10-06,575836975,579127014,573325012,577469971,66991900,1,1.0,Ganancia,-1.09
2016-11-06,578674011,607116028,578674011,606726990,82357000,1,0.0,Pérdida,0.49
2016-12-06,609684021,684843994,607039001,672783997,277084992,1,0.0,Pérdida,5.36
2016-06-13,671653992,716004028,664487000,704375977,243295008,1,0.0,Pérdida,10.16
2016-06-14,704504028,704504028,662804016,685559021,186694000,0,-1.0,Pérdida,4.89
2016-06-15,685684998,696302979,672560974,694468994,99223800,1,1.0,Ganancia,-2.67
2016-06-16,696523010,773721985,696523010,766307983,271633984,1,0.0,Pérdida,1.58
